Etat_code;Etat_libelle;Climat
AL;Alabamaÿÿ;subtropical
AR;Arkansas;subtropical
AZ;Arizona;steppe
CA;California;mediteraneen
CO;Colorado;steppe
CT;Connecticut;continental humide ete sec
DE;Delaware;subtropical
FL;Florida;subtropical
GA;Georgiaÿ;subtropical
HI;Hawai ÿÿÿ;steppe
IA;Iowaÿ ÿÿÿ;continental humide ete sec
ID;Idaho ÿÿÿ;steppe
IL;Illinois;continental humide ete sec
IN;Indianaÿ;continental humide ete sec
KS;Kansas;steppe
KY;Kentuckyÿ;subtropical
LA;Louisiana;subtropical
MA;Massachusetts;continental humide ete sec
MD;Maryland;subtropical
ME;Maineÿ;continental humide ete frais
MI;Michigan;continental humide ete frais
MN;Minnesotaÿ;continental humide ete frais
MO;Missouriÿÿÿ;continental humide ete sec
MS;Mississippi;subtropical
MT;Montana;steppe
NC;North_Carolina;subtropical
NE;Nebraska;steppe
NH;New_Hampshire;continental humide ete frais
NJ;New_Jersey;continental humide ete sec
NM;New_Mexico;steppe
NV;Nevada;steppe
NY;New_York;continental humide ete frais
OH;Ohio;continental humide ete sec
OK;Oklahomaÿ;subtropical
OR;Oregon;steppe
PA;Pennsylvania;continental humide ete sec
PR;Puerto_Rico;steppe
RI;Rhode_Island;continental humide ete sec
SC;South_Carolina;subtropical
SD;South_Dakota;steppe
TN;Tennessee;subtropical
TX;Texas;subtropical
UT;Utah;steppe
VA;Virginia;subtropical
VT;Vermontÿ;continental humide ete frais
WA;Washington;steppe
WI;Wisconsin;continental humide ete frais
WV;West_Virginia;subtropical
WY;Wyoming;steppe
