state_code_year;temperature_mean;drought_mean;precipitation_mean;climat
AL-1992;63,75;0,68;4,98;subtropical
AL-1993;63,55;-0,27;4,19;subtropical
AL-1994;65,07;0,76;5,03;subtropical
AL-1995;64,64;-0,13;4,96;subtropical
AL-1996;63,82;1,83;4,86;subtropical
AL-1997;63,86;1,93;5,25;subtropical
AL-1998;66,7;0,52;4,94;subtropical
AL-1999;65,48;-0,85;4,08;subtropical
AL-2000;65,12;-3,02;3,54;subtropical
AL-2001;65,02;1,04;4,92;subtropical
AL-2002;65,1;-0,34;4,76;subtropical
AL-2003;64,8;2,06;5,31;subtropical
AL-2004;65,07;0,74;4,99;subtropical
AL-2005;64,68;1,3;4,76;subtropical
AL-2006;65,39;-2,07;3,96;subtropical
AL-2007;66,01;-3,95;3,16;subtropical
AL-2008;64,73;-1,68;4,42;subtropical
AL-2009;64,51;2,04;6,15;subtropical
AL-2010;64,77;-0,89;3,93;subtropical
AL-2011;65,9;-2,65;4,23;subtropical
AL-2012;66,26;-1,12;4,45;subtropical
AL-2013;63,75;2,08;5,39;subtropical
AL-2014;64,28;0,71;4,67;subtropical
AL-2015;66,53;-0,55;5,11;subtropical
AZ-1992;61,41;3,44;1,51;steppe
AZ-1993;61,28;3,32;1,4;steppe
AZ-1994;62,13;-0,84;1,04;steppe
AZ-1995;62,73;0,63;0,95;steppe
AZ-1996;63,48;-4,14;0,73;steppe
AZ-1997;62,21;-1,86;1,06;steppe
AZ-1998;60,68;1,37;1,2;steppe
AZ-1999;62,18;-1,27;0,86;steppe
AZ-2000;63,12;-2,53;0,93;steppe
AZ-2001;63,1;-0,1;0,9;steppe
AZ-2002;62,89;-4,6;0,58;steppe
AZ-2003;63,09;-3,62;0,88;steppe
AZ-2004;62,01;-2,03;1,13;steppe
AZ-2005;62,59;1,65;1,09;steppe
AZ-2006;62,67;-3,39;0,81;steppe
AZ-2007;63,65;-3,93;0,92;steppe
AZ-2008;62,51;-1,47;1,03;steppe
AZ-2009;62,53;-2,7;0,59;steppe
AZ-2010;62,05;0,87;1,16;steppe
AZ-2011;62,05;-2,5;0,8;steppe
AZ-2012;63,64;-3,55;0,8;steppe
AZ-2013;62,44;-2,66;1,01;steppe
AZ-2014;63,68;-3,29;0,92;steppe
AZ-2015;63,26;-0,6;1,2;steppe
AR-1992;61,63;0,71;4,02;subtropical
AR-1993;61,12;0,44;4,34;subtropical
AR-1994;62,55;1,5;4,53;subtropical
AR-1995;62,24;-0,71;3,57;subtropical
AR-1996;61,51;0;4,31;subtropical
AR-1997;61,57;2,17;4,33;subtropical
AR-1998;64,81;-0,88;4,1;subtropical
AR-1999;63,93;-1,64;3,65;subtropical
AR-2000;62,63;-2,06;3,81;subtropical
AR-2001;63,43;-0,04;4,62;subtropical
AR-2002;62,23;0,11;4,4;subtropical
AR-2003;62,4;0,02;3,74;subtropical
AR-2004;62,85;0,6;4,75;subtropical
AR-2005;63,53;-1,87;2,98;subtropical
AR-2006;63,31;-2,26;4,11;subtropical
AR-2007;63,8;-1,09;3,89;subtropical
AR-2008;61,75;1,94;5,04;subtropical
AR-2009;61,88;3,7;6,02;subtropical
AR-2010;63,42;-1,07;3,23;subtropical
AR-2011;64,02;-2,27;4,65;subtropical
AR-2012;65,34;-2,49;3,32;subtropical
AR-2013;61,24;0,66;4,52;subtropical
AR-2014;60,8;0,57;3,99;subtropical
AR-2015;63,47;1,42;5,61;subtropical
CA-1992;60,73;-2,42;1,94;mediteraneen
CA-1993;59,15;1,63;2,23;mediteraneen
CA-1994;59,13;-1,94;1,46;mediteraneen
CA-1995;60,23;4,18;2,93;mediteraneen
CA-1996;60,83;2,46;2,71;mediteraneen
