state_code_year;1;2;3;4;5;6;7;8;9;10;11;12
AL-1992;6,12;5,99;4,03;2,91;1,95;5,44;6,07;5,87;3,61;2,59;9,48;5,73
AL-1993;6,21;3,72;6,59;3,26;3,80;3,39;2,88;4,72;3,83;3,71;3,88;4,29
AL-1994;5,31;5,08;7,25;4,40;3,20;7,00;9,43;2,91;3,61;4,97;3,50;3,67
AL-1995;4,83;5,65;5,42;5,07;3,32;3,36;3,87;4,79;3,09;9,30;5,80;5,07
AL-1996;7,40;4,07;8,45;4,65;2,56;3,38;6,63;4,70;5,71;2,38;3,46;4,94
AL-1997;6,47;6,16;3,87;6,03;5,39;7,91;5,33;2,88;3,30;5,10;5,70;4,82
AL-1998;8,14;7,29;6,20;5,39;2,28;3,22;6,07;3,44;8,29;1,37;3,30;4,27
AL-1999;7,94;2,55;5,65;2,57;4,11;8,31;4,63;2,02;1,91;3,39;2,61;3,32
AL-2000;4,69;1,99;5,05;4,83;1,32;3,71;2,26;2,36;3,49;0,80;7,70;4,29
AL-2001;4,69;4,11;10,11;3,88;4,03;7,15;3,95;5,48;4,80;3,27;3,43;4,14
AL-2002;5,11;2,99;5,79;2,19;4,09;3,77;5,38;3,24;7,57;5,58;4,88;6,54
AL-2003;2,33;6,76;4,67;6,41;8,49;8,17;7,74;5,70;3,70;1,61;4,67;3,47
AL-2004;3,27;7,06;2,28;3,37;4,00;7,53;4,43;4,48;6,63;3,87;8,12;4,84
AL-2005;2,86;4,96;5,85;7,60;2,80;6,37;9,19;6,01;3,29;0,61;3,59;3,95
AL-2006;5,23;5,05;2,97;3,07;4,41;2,01;3,33;3,91;3,53;5,13;4,84;4,06
AL-2007;4,34;2,64;1,56;3,91;0,73;2,78;5,20;2,67;3,11;3,92;2,75;4,25
AL-2008;4,09;5,79;4,01;4,53;4,43;2,69;4,04;8,89;1,65;3,02;3,15;6,78
AL-2009;4,42;3,85;8,98;4,45;8,51;2,71;5,59;5,49;7,57;7,18;4,39;10,63
AL-2010;6,21;4,22;5,07;2,82;6,15;3,26;3,50;4,83;1,61;2,59;4,73;2,20
AL-2011;4,03;3,49;8,18;5,08;1,64;3,55;5,52;2,05;7,21;0,79;4,13;5,04
AL-2012;5,44;4,49;5,35;1,89;4,16;4,00;5,75;6,07;5,35;2,91;1,36;6,61
AL-2013;6,27;8,86;3,83;5,71;4,00;5,81;8,70;5,50;3,20;1,47;3,42;7,93
AL-2014;2,70;5,75;5,57;9,67;4,27;5,23;3,36;3,25;2,51;4,38;2,98;6,36
AL-2015;4,34;4,05;4,28;7,14;4,32;3,27;4,71;4,94;2,71;2,93;6,80;11,87
AZ-1992;1,32;1,93;2,91;0,36;1,64;0,21;1,72;3,25;0,53;0,91;0,14;3,23
AZ-1993;5,22;3,17;1,15;0,05;0,41;0,14;0,35;2,88;0,35;1,24;1,52;0,29
AZ-1994;0,23;1,24;1,24;0,61;0,59;0,23;0,94;1,62;1,40;0,92;1,33;2,10
AZ-1995;2,43;1,47;1,52;0,63;0,43;0,13;0,60;1,98;1,30;0,08;0,58;0,29
AZ-1996;0,20;1,08;0,37;0,06;0,09;0,26;1,70;1,39;1,86;0,75;0,79;0,19
AZ-1997;1,89;0,91;0,11;0,76;0,37;0,25;0,82;2,26;2,18;0,70;0,59;1,87
AZ-1998;0,55;3,06;1,90;0,63;0,26;0,07;2,35;1,60;1,44;1,26;0,93;0,39
AZ-1999;0,14;0,36;0,19;1,37;0,17;0,36;3,39;2,55;1,80;0,00;0,00;0,04
AZ-2000;0,28;0,59;1,73;0,11;0,02;0,73;0,53;2,45;0,19;3,54;0,84;0,12
AZ-2001;1,70;1,00;1,04;0,97;0,37;0,24;1,50;2,04;0,39;0,43;0,29;0,82
AZ-2002;0,19;0,10;0,22;0,18;0,01;0,01;1,31;0,87;1,88;0,70;0,64;0,86
AZ-2003;0,32;2,44;1,07;0,29;0,10;0,05;1,25;1,80;1,09;0,41;1,15;0,54
