January 1992 Contiguous U.S. Statewide Average Temperature
Units: Degrees Fahrenheit
Missing: -99,Rank out of 128 Years
"Location ID,""Location"",""Value"",""Rank"",""Anomaly (1901-2000 base period)"",""1901-2000 Mean"""
"0100,""Alabama"",44.1,60,-1.0,45.1"
"0200,""Arizona"",39.6,37,-1.1,40.7"
"0300,""Arkansas"",40.8,80,1.5,39.3"
"0400,""California"",43.2,70,0.9,42.3"
"0500,""Colorado"",24.7,70,1.0,23.7"
"0600,""Connecticut"",28.3,97,2.9,25.4"
"0700,""Delaware"",36.1,96,2.8,33.3"
"0800,""Florida"",56.4,47,-1.4,57.8"
"0900,""Georgia"",46.2,70,0.1,46.1"
"1000,""Idaho"",26.0,98,4.0,22"
"1100,""Illinois"",31.0,109,5.7,25.3"
"1200,""Indiana"",30.4,95,3.9,26.5"
"1300,""Iowa"",27.2,122,9.5,17.7"
"1400,""Kansas"",36.4,124,7.8,28.6"
"1500,""Kentucky"",35.6,84,2.0,33.6"
"1600,""Louisiana"",48.2,52,-1.1,49.3"
"1700,""Maine"",14.2,77,1.0,13.2"
"1800,""Maryland"",35.2,95,2.8,32.4"
"1900,""Massachusetts"",26.4,93,2.3,24.1"
"2000,""Michigan"",22.9,106,4.8,18.1"
"2100,""Minnesota"",17.1,121,10.6,6.5"
"2200,""Mississippi"",44.3,54,-0.8,45.1"
"2300,""Missouri"",35.4,118,6.0,29.4"
"2400,""Montana"",28.0,125,11.3,16.7"
"2500,""Nebraska"",31.5,125,9.4,22.1"
"2600,""Nevada"",30.8,57,0.9,29.9"
"2700,""New Hampshire"",18.7,77,1.6,17.1"
"2800,""New Jersey"",32.8,98,3.2,29.6"
"2900,""New Mexico"",31.6,31,-2.0,33.6"
"3000,""New York"",22.2,91,2.4,19.8"
"3100,""North Carolina"",41.9,88,1.9,40"
"3200,""North Dakota"",20.3,124,13.9,6.4"
"3300,""Ohio"",29.7,88,2.8,26.9"
"3400,""Oklahoma"",40.5,110,4.0,36.5"
"3500,""Oregon"",35.0,112,4.8,30.2"
"3600,""Pennsylvania"",28.2,92,2.9,25.3"
"3700,""Rhode Island"",29.4,92,2.2,27.2"
"3800,""South Carolina"",45.6,79,1.0,44.6"
"3900,""South Dakota"",27.4,126,12.4,15"
"4000,""Tennessee"",38.6,81,1.4,37.2"
"4100,""Texas"",45.4,58,0.0,45.4"
"4200,""Utah"",24.7,48,-0.6,25.3"
"4300,""Vermont"",16.4,74,1.1,15.3"
"4400,""Virginia"",37.4,93,2.6,34.8"
"4500,""Washington"",34.6,117,6.2,28.4"
"4600,""West Virginia"",32.1,81,1.6,30.5"
"4700,""Wisconsin"",20.3,116,7.9,12.4"
"4800,""Wyoming"",22.5,99,4.1,18.4"
