code_state_year;temperature_mean;climat
AL-1992;63.75;subtropical
AL-1993;63.55;subtropical
AL-1994;65.07;subtropical
AL-1995;64.64;subtropical
AL-1996;63.82;subtropical
AL-1997;63.86;subtropical
AL-1998;66.7;subtropical
AL-1999;65.48;subtropical
AL-2000;65.12;subtropical
AL-2001;65.02;subtropical
AL-2002;65.1;subtropical
AL-2003;64.8;subtropical
AL-2004;65.07;subtropical
AL-2005;64.68;subtropical
AL-2006;65.39;subtropical
AL-2007;66.01;subtropical
AL-2008;64.73;subtropical
AL-2009;64.51;subtropical
AL-2010;64.77;subtropical
AL-2011;65.9;subtropical
AL-2012;66.26;subtropical
AL-2013;63.75;subtropical
AL-2014;64.28;subtropical
AL-2015;66.53;subtropical
AZ-1992;61.41;steppe
AZ-1993;61.28;steppe
AZ-1994;62.13;steppe
AZ-1995;62.73;steppe
AZ-1996;63.48;steppe
AZ-1997;62.21;steppe
AZ-1998;60.68;steppe
AZ-1999;62.18;steppe
AZ-2000;63.12;steppe
AZ-2001;63.1;steppe
AZ-2002;62.89;steppe
AZ-2003;63.09;steppe
AZ-2004;62.01;steppe
AZ-2005;62.59;steppe
AZ-2006;62.67;steppe
AZ-2007;63.65;steppe
AZ-2008;62.51;steppe
AZ-2009;62.53;steppe
AZ-2010;62.05;steppe
AZ-2011;62.05;steppe
AZ-2012;63.64;steppe
AZ-2013;62.44;steppe
AZ-2014;63.68;steppe
AZ-2015;63.26;steppe
AR-1992;61.63;subtropical
AR-1993;61.12;subtropical
AR-1994;62.55;subtropical
AR-1995;62.24;subtropical
AR-1996;61.51;subtropical
AR-1997;61.57;subtropical
AR-1998;64.81;subtropical
AR-1999;63.93;subtropical
AR-2000;62.63;subtropical
AR-2001;63.43;subtropical
AR-2002;62.23;subtropical
AR-2003;62.4;subtropical
AR-2004;62.85;subtropical
AR-2005;63.53;subtropical
AR-2006;63.31;subtropical
AR-2007;63.8;subtropical
AR-2008;61.75;subtropical
AR-2009;61.88;subtropical
AR-2010;63.42;subtropical
AR-2011;64.02;subtropical
AR-2012;65.34;subtropical
AR-2013;61.24;subtropical
AR-2014;60.8;subtropical
AR-2015;63.47;subtropical
CA-1992;60.73;mediteraneen
CA-1993;59.15;mediteraneen
CA-1994;59.13;mediteraneen
CA-1995;60.23;mediteraneen
CA-1996;60.83;mediteraneen
CA-1997;60.45;mediteraneen
CA-1998;57.76;mediteraneen
CA-1999;59.14;mediteraneen
CA-2000;59.98;mediteraneen
CA-2001;60.65;mediteraneen
CA-2002;60.35;mediteraneen
CA-2003;60.28;mediteraneen
CA-2004;60.25;mediteraneen
CA-2005;59.92;mediteraneen
CA-2006;59.92;mediteraneen
CA-2007;60.51;mediteraneen
CA-2008;60.54;mediteraneen
CA-2009;59.92;mediteraneen
CA-2010;58.86;mediteraneen
CA-2011;58.55;mediteraneen
CA-2012;60.69;mediteraneen
CA-2013;60.88;mediteraneen
CA-2014;62.48;mediteraneen
CA-2015;61.86;mediteraneen
CO-1992;47.14;steppe
CO-1993;45.66;steppe
CO-1994;48.31;steppe
CO-1995;47.36;steppe
CO-1996;47.72;steppe
CO-1997;46.67;steppe
CO-1998;47.89;steppe
CO-1999;48.17;steppe
CO-2000;48.63;steppe
CO-2001;48.86;steppe
CO-2002;47.96;steppe
CO-2003;48.43;steppe
CO-2004;47.63;steppe
CO-2005;48.27;steppe
CO-2006;48.02;steppe
CO-2007;48.61;steppe
