LATITUDE;LONGITUDE;STATES
406943;-739249;NY
341141;-1184068;CA
418375;-876866;IL
25784;-802101;FL
327935;-967667;TX
29786;-953885;TX
400077;-751339;PA
337628;-84422;GA
389047;-770163;DC
423188;-710852;MA
335722;-1120892;AZ
423834;-831024;MI
377558;-1224449;CA
476211;-1223244;WA
328313;-1171222;CA
449635;-932678;MN
279945;-824447;FL
406501;-739496;NY
39762;-1048758;CO
407498;-737976;NY
393051;-766144;MD
362333;-1152654;NV
386359;-902451;MO
339381;-1173949;CA
455371;-122.65;OR
294632;-985238;TX
385677;-1214685;CA
183985;-66061;PR
373012;-121848;CA
284773;-81337;FL
414764;-816805;OH
404397;-799763;PA
407834;-739662;NY
303005;-977522;TX
391413;-84506;OH
397771;-861458;IN
391238;-945541;MO
399862;-829855;OH
352083;-808303;NC
367335;-760435;VA
408501;-738662;NY
430642;-879675;WI
41823;-714187;RI
303322;-816749;FL
407776;-1119311;UT
361715;-867842;TN
358324;-786429;NC
351087;-899663;TN
375295;-774756;VA
381663;-856485;KY
300687;-899288;LA
411918;-731954;CT
354676;-975136;OK
429018;-788487;NY
417661;-726834;CT
327817;-973474;TX
321541;-1108787;AZ
213294;-157846;HI
262252;-982467;TX
318476;-106.43;TX
412627;-960529;NE
351054;-1066465;NM
335279;-867971;AL
273387;-825432;FL
397805;-842003;OH
43168;-776162;NY
36783;-1197939;CA
361283;-959042;OK
405961;-754756;PA
379722;-1220016;CA
266443;-819957;FL
328168;-799687;SC
388674;-1047605;CO
421155;-725395;MA
429619;-856562;MI
412279;-1119682;UT
340378;-809036;SC
30442;-911311;LA
359692;-839496;TN
336096;-1176551;CA
426664;-737987;NY
410798;-815219;OH
413113;-729246;CT
402457;-1116457;UT
353529;-1190359;CA
335719;-1171909;CA
415725;-936105;IA
422705;-718079;MA
334015;-1117178;AZ
416638;-835827;OH
279631;-806593;FL
405834;-741496;NY
376895;-973443;KS
402752;-768843;PA
337977;-118167;CA
347256;-923577;AR
430822;-89393;WI
348354;-823646;SC
395497;-1198483;NV
272796;-803884;FL
40042;-763012;PA
476671;-117433;WA
332175;-971418;TX
41695;-739211;NY
377904;-1222166;CA
361029;-80261;NC
430407;-761437;NY
436005;-1162308;ID
35066;-852481;TN
333645;-820708;GA
326998;-97125;TX
379765;-1213109;CA
359792;-789022;NC
295389;-812457;FL
414044;-756649;PA
397083;-1047237;CO
341964;-1191815;CA
376375;-1210028;CA
337346;-1162346;CA
283041;-814169;FL
410993;-806463;OH
304413;-871911;FL
346935;-1181753;CA
33839;-1178574;CA
360714;-941661;AR
323157;-902125;MS
345277;-1173536;CA
263558;-817859;FL
360956;-798271;NC
277254;-973767;TX
430236;-836921;MI
35085;-789772;NC
337367;-1178819;CA
410888;-851436;IN
306782;-881162;AL
427142;-845601;MI
422759;-83731;MI
346981;-866412;AL
380423;-844587;KY
384458;-1227067;CA
379787;-121796;CA
355707;-825537;NC
360133;-1150381;NV
449478;-931039;MN
405477;-1050656;CO
280557;-819545;FL
371943;-932916;MO
301738;-955134;TX
324653;-937955;LA
402237;-747641;NJ
330502;-967486;TX
423791;-880811;IL
416767;-862696;IN
320286;-811821;GA
407245;-741725;NJ
415565;-906053;IA
337094;-788844;SC
408099;-966784;NE
422596;-89064;IL
40.34;-759267;PA
408078;-813676;OH
336772;-1177738;CA
440564;-1231174;OR
326281;-1170144;CA
277931;-826652;FL
449233;-1230244;OR
302082;-920325;LA
275625;-994874;TX
407184;-740686;NJ
