,state_code_year,month,WET_DRY_SPELL,PRECIPITATION,TEMPERATURE,CLIMAT,STATE_YEAR_MONTH
1152,AK-1992,1,-99.99,3.59,6.5,continental humide ete frais,AK-1992-1
2328,AK-1992,2,-99.99,2.69,0.3,continental humide ete frais,AK-1992-2
3504,AK-1992,3,-99.99,3.14,12.8,continental humide ete frais,AK-1992-3
4680,AK-1992,4,-99.99,1.43,22.6,continental humide ete frais,AK-1992-4
5856,AK-1992,5,-99.99,2.27,33.9,continental humide ete frais,AK-1992-5
7032,AK-1992,6,-99.99,2.6,50.6,continental humide ete frais,AK-1992-6
8208,AK-1992,7,-99.99,2.87,54.6,continental humide ete frais,AK-1992-7
9384,AK-1992,8,-99.99,4.49,49.6,continental humide ete frais,AK-1992-8
10560,AK-1992,9,-99.99,4.0,31.6,continental humide ete frais,AK-1992-9
11736,AK-1992,10,-99.99,3.45,20.9,continental humide ete frais,AK-1992-10
12912,AK-1992,11,-99.99,4.54,13.8,continental humide ete frais,AK-1992-11
14088,AK-1992,12,-99.99,3.47,3.2,continental humide ete frais,AK-1992-12
1153,AK-1993,1,-99.99,3.75,3.2,continental humide ete frais,AK-1993-1
2329,AK-1993,2,-99.99,2.84,10.6,continental humide ete frais,AK-1993-2
3505,AK-1993,3,-99.99,1.85,16.7,continental humide ete frais,AK-1993-3
4681,AK-1993,4,-99.99,1.13,30.4,continental humide ete frais,AK-1993-4
5857,AK-1993,5,-99.99,1.62,42.2,continental humide ete frais,AK-1993-5
7033,AK-1993,6,-99.99,1.97,51.5,continental humide ete frais,AK-1993-6
8209,AK-1993,7,-99.99,1.8,56.8,continental humide ete frais,AK-1993-7
9385,AK-1993,8,-99.99,4.45,50.1,continental humide ete frais,AK-1993-8
10561,AK-1993,9,-99.99,6.05,39.7,continental humide ete frais,AK-1993-9
11737,AK-1993,10,-99.99,5.04,29.9,continental humide ete frais,AK-1993-10
12913,AK-1993,11,-99.99,4.94,15.8,continental humide ete frais,AK-1993-11
14089,AK-1993,12,-99.99,3.81,11.9,continental humide ete frais,AK-1993-12
1154,AK-1994,1,-99.99,2.72,7.4,continental humide ete frais,AK-1994-1
2330,AK-1994,2,-99.99,1.29,4.1,continental humide ete frais,AK-1994-2
3506,AK-1994,3,-99.99,3.36,9.0,continental humide ete frais,AK-1994-3
4682,AK-1994,4,-99.99,1.8,25.6,continental humide ete frais,AK-1994-4
5858,AK-1994,5,-99.99,2.49,40.3,continental humide ete frais,AK-1994-5
7034,AK-1994,6,-99.99,2.4,49.4,continental humide ete frais,AK-1994-6
8210,AK-1994,7,-99.99,3.06,54.4,continental humide ete frais,AK-1994-7
9386,AK-1994,8,-99.99,4.25,51.8,continental humide ete frais,AK-1994-8
10562,AK-1994,9,-99.99,4.86,39.8,continental humide ete frais,AK-1994-9
11738,AK-1994,10,-99.99,4.57,22.8,continental humide ete frais,AK-1994-10
12914,AK-1994,11,-99.99,4.81,6.9,continental humide ete frais,AK-1994-11
14090,AK-1994,12,-99.99,3.56,2.8,continental humide ete frais,AK-1994-12
1155,AK-1995,1,-99.99,1.76,5.0,continental humide ete frais,AK-1995-1
2331,AK-1995,2,-99.99,1.96,8.4,continental humide ete frais,AK-1995-2
3507,AK-1995,3,-99.99,1.79,6.5,continental humide ete frais,AK-1995-3
4683,AK-1995,4,-99.99,1.91,30.0,continental humide ete frais,AK-1995-4
5859,AK-1995,5,-99.99,2.51,42.7,continental humide ete frais,AK-1995-5
7035,AK-1995,6,-99.99,2.63,49.8,continental humide ete frais,AK-1995-6
8211,AK-1995,7,-99.99,3.04,53.8,continental humide ete frais,AK-1995-7
9387,AK-1995,8,-99.99,3.49,49.6,continental humide ete frais,AK-1995-8
10563,AK-1995,9,-99.99,5.09,45.9,continental humide ete frais,AK-1995-9
11739,AK-1995,10,-99.99,3.39,27.0,continental humide ete frais,AK-1995-10
12915,AK-1995,11,-99.99,1.73,9.0,continental humide ete frais,AK-1995-11
14091,AK-1995,12,-99.99,1.99,5.6,continental humide ete frais,AK-1995-12
1156,AK-1996,1,-99.99,1.52,-2.4,continental humide ete frais,AK-1996-1
2332,AK-1996,2,-99.99,4.33,4.0,continental humide ete frais,AK-1996-2
3508,AK-1996,3,-99.99,2.03,17.7,continental humide ete frais,AK-1996-3
4684,AK-1996,4,-99.99,1.45,23.7,continental humide ete frais,AK-1996-4
5860,AK-1996,5,-99.99,1.38,40.4,continental humide ete frais,AK-1996-5
7036,AK-1996,6,-99.99,2.73,49.6,continental humide ete frais,AK-1996-6
8212,AK-1996,7,-99.99,2.86,53.6,continental humide ete frais,AK-1996-7
9388,AK-1996,8,-99.99,4.37,47.4,continental humide ete frais,AK-1996-8
10564,AK-1996,9,-99.99,3.87,37.3,continental humide ete frais,AK-1996-9
11740,AK-1996,10,-99.99,3.04,17.1,continental humide ete frais,AK-1996-10
12916,AK-1996,11,-99.99,2.19,11.6,continental humide ete frais,AK-1996-11
14092,AK-1996,12,-99.99,1.87,0.9,continental humide ete frais,AK-1996-12
1157,AK-1997,1,-99.99,2.37,-0.3,continental humide ete frais,AK-1997-1
2333,AK-1997,2,-99.99,3.11,15.1,continental humide ete frais,AK-1997-2
3509,AK-1997,3,-99.99,1.29,7.7,continental humide ete frais,AK-1997-3
4685,AK-1997,4,-99.99,1.67,27.5,continental humide ete frais,AK-1997-4
5861,AK-1997,5,-99.99,1.85,41.0,continental humide ete frais,AK-1997-5
7037,AK-1997,6,-99.99,1.9,52.2,continental humide ete frais,AK-1997-6
8213,AK-1997,7,-99.99,3.1,55.4,continental humide ete frais,AK-1997-7
9389,AK-1997,8,-99.99,4.83,52.2,continental humide ete frais,AK-1997-8
10565,AK-1997,9,-99.99,4.6,44.6,continental humide ete frais,AK-1997-9
11741,AK-1997,10,-99.99,3.17,20.3,continental humide ete frais,AK-1997-10
12917,AK-1997,11,-99.99,3.61,18.1,continental humide ete frais,AK-1997-11
14093,AK-1997,12,-99.99,4.31,3.7,continental humide ete frais,AK-1997-12
1158,AK-1998,1,-99.99,1.61,0.6,continental humide ete frais,AK-1998-1
2334,AK-1998,2,-99.99,1.57,10.4,continental humide ete frais,AK-1998-2
3510,AK-1998,3,-99.99,1.79,20.2,continental humide ete frais,AK-1998-3
4686,AK-1998,4,-99.99,2.52,30.6,continental humide ete frais,AK-1998-4
5862,AK-1998,5,-99.99,3.09,39.2,continental humide ete frais,AK-1998-5
7038,AK-1998,6,-99.99,2.64,49.9,continental humide ete frais,AK-1998-6
8214,AK-1998,7,-99.99,4.11,54.8,continental humide ete frais,AK-1998-7
9390,AK-1998,8,-99.99,6.33,47.7,continental humide ete frais,AK-1998-8
10566,AK-1998,9,-99.99,4.46,41.6,continental humide ete frais,AK-1998-9
11742,AK-1998,10,-99.99,3.99,27.4,continental humide ete frais,AK-1998-10
12918,AK-1998,11,-99.99,1.99,15.0,continental humide ete frais,AK-1998-11
